"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
1237,"3069","駕駛","jiàshĭ ","I","(VA)","drive (vehicle), pilot (ship/plane)"
1240,"1574","兼","jiān ","I","(VA)","do concurrently"
1251,"2239","揀","jiăn ","I","(VA)","select, pick out, pick up, collect, gather"
1252,"3107","撿","jiăn ","I","(VA)","pick up, collect, gather"
1253,"1859","剪","jiăn ","I","(VA)","wipe out, exterminate, cut (with scissors), clip, trim"
1258,"3209","檢驗","jiănyàn ","I","(VA)","test, examine, inspect"
1261,"1352","建","jiàn ","I","(VA)","build, construct, erect, establish, set up, found"
1264,"1353","建立","jiànlì ","I","(VA)","establish, set up, found"
1268,"1357","建議","jiànyì ","I","(VA)","propose, suggest, recommend"
1269,"1354","建築","jiànzhú ","I","(VA)","build, construct, erect"
1274,"3247","講價","jiăngjià ","I","(VA)","bargain"
1279,"1531","降","jiàng ","I","(VA)","surrender, capitulate, subdue, tame"
1282,"2980","澆","jiāo ","I","(VA)","pour liquid on, sprinkle water on, irrigate, water, cast"
1284,"0566","交代","jiāodài ","I","(VA)","explain, make clear, brief, tell, account for, justify oneself, confess"
1285,"0572","交換","jiāohuàn ","I","(VA)","exchange, swap"
1286,"0573","交際","jiāojì ","I","(VA)","assort, converse, social intercourse, intercommunicate, gam, socialize"
1290,"0567","交往","jiāowăng ","I","(VA)","associate, contact"
1291,"0568","交易","jiāoyì ","I","(VA)","deal, trade"
1293,"0565","交友","jiāoyǒu ","I","(VA)","make friends"
1295,"3337","繳","jiăo ","I","(VA)","pay, hand over/in"
1302,"2009","教導","jiàodăo ","I","(VA)","instruct, give guidance"
1304,"0433","叫喊","jiàohăn ","I","(VA)","shout, howl, scream"
1309,"2005","教授","jiàoshòu ","I","(VA)","instruct, teach"
1311,"2008","教學","jiàoxué ","I","(VA)","teach and study"
1312,"2001","教訓","jiàoxùn ","I","(VA)","chide, lecture sb."
1315,"1970","接觸","jiēchù ","I","(VA)","come into contact with, get in touch with, engage, contact"
1316,"1969","接待","jiēdài ","I","(VA)","receive (guests), serve (customers)"
1317,"1966","接到","jiēdào ","I","(VA)","receive"
1320,"1965","接見","jiējiàn ","I","(VA)","receive sb., grant interview to"
1322,"1968","接近","jiējìn ","I","(VA)","approach, near, be close to"
1326,"2350","結","jié ","I","(VA)","(1)congeal, coagulate; (2)unite, connect, join,tie,knit,knot,weave; (3)to bear (fruit)"
1328,"2353","結果","jiéguŏ ","I","(VA)","result, outcome, consequence"
1333,"2357","結算","jiésuàn ","I","(VA)","close an account, to reckon sth. up"
1336,"2355","結帳","jiézhàng ","I","(VA)","settle accounts, square accounts, balance the books, square_up"
1338,"2643","解","jiě ","I","(VA)","separate, divide, cut apart, untie, undo"
1339,"2644","解除","jiěchú ","I","(VA)","remove, relieve, get rid of"
